,RIO LN Equity,,,,,,,GLEN LN Equity,,,,,,,AAL LN Equity,,,,,,,ANTO LN Equity,,,,,,,EVR LN Equity,,,,,,,BHP LN Equity,,,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO
18/03/2004,1135.893,1135.893,1109.458,1110.284,7012222,1324,22.524,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1350.917,1367.317,1342.718,1350.917,4823902,1728,19.9642,211.3,215,210,210,1445815,186.526,34.4081,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
19/03/2004,1127.632,1127.632,1099.544,1112.762,7420436,1324,22.5349,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1366.292,1366.292,1339.643,1350.917,4037884,1728,19.9294,212,213.6,209.4,213.6,5039105,186.526,34.937,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
22/03/2004,1108.632,1108.632,1081.37,1097.892,6688797,1324,22.4328,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1335.543,1342.718,1309.918,1321.193,1865455,1728,19.6654,213.6,214.6,202.8,207.6,2303080,186.526,34.2596,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
23/03/2004,1110.284,1118.545,1083.022,1086.327,9026892,1324,22.2481,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1323.243,1339.643,1299.669,1303.769,5462167,1728,19.4511,211,211,204.4,205.6,1628410,186.526,34.0084,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
24/03/2004,1086.327,1100.371,1064.022,1071.457,12140603,1324,21.6913,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1306.844,1315.043,1255.595,1260.72,8630064,1728,18.5926,207.8,207.8,195.2,197,5306160,186.526,32.2113,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
25/03/2004,1074.761,1087.979,1074.761,1086.327,8466831,1324,21.7605,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1263.795,1299.669,1263.795,1293.519,5715219,1728,18.8753,201,206.6,197.8,206,3873495,186.526,33.3279,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
26/03/2004,1095.414,1105.327,1088.805,1100.371,7370453,1324,22.0662,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1301.719,1314.018,1295.569,1307.869,3153985,1728,19.1058,208.2,210,207.2,209,2513130,186.526,33.8505,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
29/03/2004,1107.805,1121.849,1102.023,1117.719,5131814,1324,22.4437,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1307.869,1335.543,1306.844,1329.393,2548441,1728,19.4459,210,211.6,206.8,208.6,3091980,186.526,33.8305,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
30/03/2004,1124.328,1124.328,1107.805,1117.719,4272306,1324,22.597,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1323.243,1347.843,1316.068,1340.668,5242908,1728,19.7447,207.6,208.4,202.4,207,3632810,186.526,33.8001,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
31/03/2004,1121.023,1126.806,1102.023,1108.632,8900120,1324,22.5554,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1340.668,1341.693,1321.193,1329.393,3278254,1728,19.7028,209.2,209.2,203.6,207,1888070,186.526,34.0145,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
01/04/2004,1117.719,1124.328,1108.632,1119.371,4993048,1324,22.9744,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1329.393,1346.818,1323.243,1346.818,2530402,1728,20.1368,200,209,200,208.4,2728975,186.526,34.546,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
02/04/2004,1120.197,1168.111,1114.414,1163.981,12357913,1324,23.5464,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1342.718,1390.892,1342.718,1384.742,4089399,1728,20.4061,208,220.6,205,219.4,4741445,186.526,35.8464,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
05/04/2004,1159.85,1162.328,1148.285,1159.024,6211655,1324,23.2834,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1384.742,1401.141,1379.617,1397.041,2633548,1728,20.4444,218.2,218.4,212.4,216,3484880,186.526,35.046,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
06/04/2004,1148.285,1148.285,1127.632,1143.328,6933875,1324,23.2398,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1401.141,1401.141,1361.167,1369.367,4525084,1728,20.2765,211,211.6,204.4,208.8,3117415,186.526,34.2786,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
07/04/2004,1135.067,1151.589,1135.067,1146.632,5298689,1324,23.3476,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1379.617,1387.817,1358.092,1360.142,3978429,1728,20.175,208,213.2,208,210.8,3301695,186.526,34.6672,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
08/04/2004,1152.415,1159.024,1141.676,1148.285,5309674,1324,23.2378,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1383.717,1383.717,1365.267,1374.492,2423043,1728,20.2628,209.4,216.4,209.4,214,2229380,186.526,34.9775,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
09/04/2004,1152.415,1159.024,1141.676,1148.285,5309674,1324,23.2378,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1383.717,1383.717,1365.267,1374.492,2423043,1728,20.2628,209.4,216.4,209.4,214,2229380,186.526,34.9775,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
12/04/2004,1152.415,1159.024,1141.676,1148.285,5309674,1324,23.2378,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1383.717,1383.717,1365.267,1374.492,2423043,1728,20.2628,209.4,216.4,209.4,214,2229380,186.526,34.9775,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
13/04/2004,1159.85,1159.85,1140.85,1141.676,6877893,1324,22.9248,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1369.367,1385.767,1369.367,1371.417,2423902,1728,20.0606,210,216,210,211.4,1363190,186.526,34.2846,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
14/04/2004,1130.936,1130.936,1093.762,1104.501,10438641,1324,21.8535,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1353.992,1365.267,1331.443,1340.668,7628991,1728,19.3236,209.8,210,201.2,203.2,2541210,186.526,32.4721,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
15/04/2004,1102.023,1111.11,1082.196,1094.588,10420914,1324,21.5836,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1333.493,1349.893,1324.268,1339.643,6123440,1728,19.243,202.8,202.8,197.2,198,3565660,186.526,31.5333,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
16/04/2004,1103.675,1123.501,1102.849,1116.893,11218854,1324,22.1469,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1338.618,1347.843,1321.193,1333.493,7220345,1728,19.2621,198,205.8,198,203.2,6475880,186.526,32.5428,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
19/04/2004,1124.328,1130.11,1098.718,1110.284,9056627,1324,22.1963,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1336.568,1339.643,1307.869,1316.068,2602367,1728,19.1662,204,205.8,201.8,205,2334290,186.526,33.1002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
20/04/2004,1111.11,1128.458,1105.327,1107.805,9328344,1324,21.9532,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1319.143,1341.693,1317.093,1324.268,3201139,1728,19.1171,207.8,209.6,203.2,207,6451180,186.526,33.1311,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
21/04/2004,1082.196,1082.196,1054.109,1059.891,23339547,1324,20.8139,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1302.744,1309.918,1255.595,1259.695,9379378,1728,18.0206,200,203.4,194.8,195.6,7253005,186.526,31.0236,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
22/04/2004,1061.544,1066.5,1037.587,1054.109,25369663,1324,20.6013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1259.695,1267.894,1234.07,1262.77,10251658,1728,17.9781,196,199.6,192,195.8,6539775,186.526,30.9067,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
23/04/2004,1068.979,1079.718,1059.891,1063.196,9687432,1324,20.8376,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1281.219,1282.244,1253.545,1258.67,4604140,1728,17.9705,198.2,199.6,196.4,199,3070575,186.526,31.5006,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
26/04/2004,1064.022,1074.761,1053.283,1070.631,8718998,1324,21.1301,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1260.72,1277.119,1257.645,1264.82,4173435,1728,18.1846,203.2,203.8,198.4,202.2,2049265,186.526,32.231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
27/04/2004,1070.631,1074.761,1062.37,1064.022,6362227,1324,21.0397,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1261.745,1273.019,1251.495,1259.695,3197346,1728,18.1454,201.8,204.8,201.6,202.4,2816955,186.526,32.3244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
28/04/2004,1057.413,1059.891,1016.934,1022.717,15069368,1324,20.0511,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1253.545,1255.595,1196.146,1202.296,10293607,1728,17.1714,202.8,203,196.6,196.6,4172795,186.526,31.1313,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
29/04/2004,1020.238,1042.543,1002.89,1035.108,22921074,1324,20.3009,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1196.146,1204.346,1165.397,1192.046,12342429,1728,17.0308,196.4,197.8,185.2,190,9073725,186.526,30.0963,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
30/04/2004,1029.326,1036.761,1018.586,1021.891,17965440,1324,20.0563,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1187.946,1187.946,1159.247,1163.347,7001828,1728,16.6329,188.4,190.8,186.8,188,3130350,186.526,29.8014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
03/05/2004,1029.326,1036.761,1018.586,1021.891,17965440,1324,20.0563,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1187.946,1187.946,1159.247,1163.347,7001828,1728,16.6329,188.4,190.8,186.8,188,3130350,186.526,29.8014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
04/05/2004,1034.282,1054.109,1024.369,1048.326,18238776,1324,20.7235,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1166.422,1205.371,1156.172,1204.346,8934447,1728,17.3432,187,191.6,187,190,5242470,186.526,30.3355,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
05/05/2004,1048.326,1067.326,1048.326,1057.413,14935900,1324,20.9639,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1205.371,1215.621,1201.271,1204.346,7928926,1728,17.3937,190,196.8,190,194.4,9161040,186.526,31.1283,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
06/05/2004,1051.63,1051.63,1031.804,1048.326,10841562,1324,20.8012,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1196.146,1201.271,1161.297,1168.472,9789149,1728,16.8897,192.4,193.2,188.6,189.8,2586755,186.526,30.4171,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
07/05/2004,1045.022,1048.326,1032.63,1036.761,15685248,1324,20.4628,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1164.372,1172.572,1152.072,1153.097,5983575,1728,16.5792,189.8,189.8,184,185,1834615,186.526,29.491,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
10/05/2004,1011.977,1016.108,1003.716,1004.542,16731934,1324,19.6981,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1145.922,1146.947,1117.223,1117.223,3829224,1728,15.9591,180.8,182.2,178,178.2,5645225,186.526,28.2224,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
11/05/2004,1020.238,1032.63,1016.108,1028.499,9783864,1324,19.9587,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1129.523,1146.947,1121.323,1143.872,5857737,1728,16.1702,185,185,174.8,178,4045895,186.526,27.8983,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
12/05/2004,1034.282,1044.195,1021.891,1026.847,13145568,1324,20.1514,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1177.697,1177.697,1129.523,1129.523,4438167,1728,16.1475,176.2,177.6,173.6,175.8,6689130,186.526,27.8643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
13/05/2004,1031.804,1045.848,1023.543,1038.413,8344936,1324,20.2004,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1137.723,1154.122,1129.523,1136.698,3830325,1728,16.1082,175,181.4,174.8,180.8,2652435,186.526,28.4066,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
14/05/2004,1040.891,1040.891,981.412,1001.238,36320785,1324,19.4662,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1134.648,1141.823,1091.599,1104.923,6869836,1728,15.649,179.2,179.6,174,175.2,1500495,186.526,27.5111,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
17/05/2004,998.76,1008.673,975.629,1007.021,14221849,1324,19.6999,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1101.848,1101.848,1071.099,1098.774,5365176,1728,15.6584,170.8,171.8,169.4,170.6,1987830,186.526,26.9548,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
18/05/2004,1008.673,1019.412,1002.064,1012.804,10950850,1324,19.7963,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1102.873,1109.023,1083.399,1098.774,4826261,1728,15.6451,170.6,170.6,165.8,167.2,7302945,186.526,26.3952,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
19/05/2004,1038.413,1061.544,1038.413,1059.065,22444764,1324,20.8714,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1114.148,1168.472,1112.098,1165.397,10573639,1728,16.7307,173.2,186,172,179.6,10852160,186.526,28.5869,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
20/05/2004,1046.674,1046.674,1026.021,1032.63,11254413,1324,20.2397,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1158.222,1163.347,1132.598,1138.748,2835340,1728,16.2592,175.2,179.2,174.8,177.2,4271570,186.526,28.0514,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
21/05/2004,1040.891,1065.674,1040.891,1061.544,10540063,1324,21.0059,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1135.673,1175.647,1135.673,1160.272,4262474,1728,16.7254,174.6,181.8,174.6,180,2988380,186.526,28.7679,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
24/05/2004,1059.891,1077.24,1056.587,1058.239,8788625,1324,20.9803,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1151.047,1175.647,1144.897,1145.922,4381716,1728,16.5499,183,184.6,180.2,180.8,5166090,186.526,28.9506,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
25/05/2004,1053.283,1059.891,1038.413,1054.935,8316818,1324,21.1504,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1144.897,1156.172,1131.573,1152.072,3419805,1728,16.8261,181,181.8,178.6,180,3325480,186.526,29.1471,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
26/05/2004,1069.805,1084.675,1069.805,1079.718,10151701,1324,21.6389,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1165.397,1183.847,1160.272,1175.647,5595461,1728,17.1638,181.6,183,178,179.2,4187745,186.526,29.0064,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
27/05/2004,1083.022,1102.023,1078.892,1084.675,10337834,1324,22.008,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1178.722,1199.221,1178.722,1184.871,7114085,1728,17.5132,180,181.6,178.6,181,6745555,186.526,29.6614,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
