,RIO LN Equity,,,,,,,GLEN LN Equity,,,,,,,AAL LN Equity,,,,,,,ANTO LN Equity,,,,,,,EVR LN Equity,,,,,,,BHP LN Equity,,,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EBITDA,PE_RATIO
04/03/2004,1193.72,1200.329,1177.198,1184.633,5686059,1324,23.8594,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1419.591,1429.841,1396.016,1404.216,4487388,1728,20.6026,243,247,234,235.2,7450690,186.526,38.2599,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
05/03/2004,1189.59,1203.634,1166.459,1191.242,8923769,1324,24.273,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1399.091,1439.065,1399.091,1430.866,6053225,1728,21.239,235,236,232.5,234,5880905,186.526,38.5097,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
08/03/2004,1182.981,1197.025,1180.503,1192.068,4267345,1324,24.2912,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1430.866,1434.965,1417.541,1425.741,3257131,1728,21.1641,244,247,234,234.4,4650530,186.526,38.5776,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
09/03/2004,1183.807,1195.372,1168.937,1168.937,9299936,1324,23.7694,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1399.091,1421.641,1399.091,1417.541,4433676,1728,20.9978,232,232,225.5,228,4692915,186.526,37.4449,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
10/03/2004,1157.372,1157.372,1123.501,1128.458,15217228,1324,22.5184,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1394.991,1394.991,1349.893,1359.117,8233851,1728,19.757,220.4,228,220.4,222,3082500,186.526,35.7797,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
11/03/2004,1123.501,1126.806,1084.675,1099.544,29068502,1324,21.905,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1347.843,1352.967,1305.819,1337.593,9988001,1728,19.4118,222,222,208.4,209.7,14047695,186.526,33.7411,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
12/03/2004,1093.762,1131.762,1082.196,1131.762,12387175,1324,22.518,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1319.143,1363.217,1319.143,1360.142,5561071,1728,19.7139,211.2,219.4,207.2,214.8,3975730,186.526,34.5176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
15/03/2004,1133.415,1141.676,1106.153,1109.458,8743944,1324,22.1098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1357.067,1362.192,1317.093,1320.168,5167253,1728,19.1653,215.1,215.1,210,210,1918775,186.526,33.8006,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
16/03/2004,1116.893,1128.458,1092.109,1120.197,14480326,1324,22.4229,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1311.968,1342.718,1299.669,1329.393,16783135,1728,19.3849,212,212.4,210,211.1,4166185,186.526,34.1285,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
17/03/2004,1130.936,1144.98,1123.501,1138.371,8629704,1324,22.8484,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1332.468,1353.992,1332.468,1347.843,6143941,1728,19.7071,213.9,216,213.4,214,3271265,186.526,34.6909,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9947,#N/A N/A
